Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
57,27,68,94117,1,1.4,3,0,0,0,0,1,0
38,12,179,94596,2,0,1,380,0,0,0,0,0
49,25,93,93117,1,2.7,1,0,0,1,0,1,0
65,40,40,94104,1,1.1,3,0,0,0,0,0,0
38,13,63,92325,3,0.5,3,190,0,1,1,1,1
33,8,155,92717,1,7.4,3,0,1,0,0,0,0
34,9,64,92346,2,0.1,1,224,0,0,0,1,1
38,12,43,94305,4,0.2,1,0,0,0,0,0,0
40,15,144,91040,1,4.1,1,0,0,0,0,0,0
31,6,62,95630,1,1,1,0,0,1,0,1,0
66,41,25,94720,4,0.6,2,0,0,0,0,1,1
33,8,122,94583,1,0,1,0,0,0,0,1,1
43,19,81,92121,2,3.2,1,0,0,0,0,1,0
31,5,85,92130,3,1.6,1,157,0,0,0,1,1
27,2,20,95064,4,0.5,3,0,0,0,0,1,0
62,37,155,93943,1,1.3,1,0,0,0,0,0,0
57,32,22,95616,3,0.1,2,0,0,0,0,1,0
38,14,42,94610,1,2,2,81,0,0,0,1,0
29,4,62,92064,2,2.5,1,184,0,0,0,1,0
26,1,184,94608,2,4.2,3,577,1,0,1,1,1
47,22,33,91105,1,1.4,3,0,0,0,0,1,0
25,0,25,94596,2,0.9,3,0,0,0,0,0,0
31,7,15,91380,3,0.9,3,0,0,0,0,1,0
25,-1,139,93106,2,2,1,0,0,0,0,0,1
46,20,69,92780,3,2.1,1,0,0,0,0,0,0
34,9,99,90245,4,2.2,2,155,0,0,0,1,0
41,15,53,93106,1,0.7,3,0,0,0,0,1,0
36,10,42,93106,4,1.2,2,0,0,0,0,1,1
32,7,83,94304,1,2.6,2,0,0,1,0,0,1
52,28,81,94132,3,1.8,2,275,0,0,0,0,0
50,24,130,95833,1,1,1,0,0,0,0,0,0
55,29,65,91773,3,2.5,1,0,0,0,0,0,0
46,22,142,92220,2,3.3,1,0,0,0,0,0,0
35,11,82,94022,2,1.7,2,0,0,0,0,1,1
62,37,125,94801,1,1,3,0,1,0,0,1,0
38,12,89,94583,4,1.4,2,0,0,0,0,0,0
30,4,30,91770,3,1,1,0,0,0,0,1,0
29,5,113,95351,2,2,2,84,0,0,0,1,1
40,15,71,93950,3,3,1,272,0,0,0,1,0
29,5,31,96064,4,0.4,2,161,0,0,0,1,1
30,4,38,90245,1,1.9,3,0,0,0,0,1,0
43,19,75,91765,4,0.2,3,102,0,0,0,1,0
66,41,145,90009,1,2.5,1,0,0,0,0,1,0
47,23,149,92675,4,6.1,1,0,1,0,0,0,1
46,20,118,93009,1,5.7,1,0,0,0,1,1,1
39,13,139,95616,3,3.4,1,483,1,0,0,1,0
54,30,23,94608,2,0.4,1,0,0,0,0,0,0
55,29,79,94608,2,1.1,1,0,0,1,0,1,0
33,8,54,92251,3,2.3,1,0,0,0,0,0,1
65,40,49,90034,3,0.5,2,0,0,0,0,1,0
62,37,98,94706,1,0.9,1,151,0,0,0,1,0
60,34,44,90018,2,0.3,1,192,0,0,0,1,0
52,26,78,94301,3,3,2,0,0,0,0,0,0
63,37,15,92121,1,0.8,2,115,0,0,0,1,0
39,14,115,91320,1,1,3,0,0,0,0,1,0
63,39,49,93943,4,1.2,2,109,0,1,1,1,1
44,19,44,90509,4,0,2,0,0,0,0,0,0
59,35,124,90007,1,7.4,1,0,0,0,0,0,1
52,26,70,94117,2,1.1,1,0,0,1,0,1,0
34,8,41,92096,4,0.8,1,0,0,0,0,0,0
59,33,49,93009,4,1.7,2,104,0,0,0,1,0
40,14,70,95136,3,2.1,1,185,0,0,0,0,0
41,16,23,94143,2,0.3,2,118,0,0,0,0,0
42,18,41,92121,1,1.8,1,94,0,0,0,1,0
38,12,43,94305,4,0.2,1,0,0,0,0,0,0
63,37,145,94025,2,6.9,1,0,0,0,0,1,0
57,32,38,90740,2,2.1,3,0,0,0,0,0,0
30,4,39,90245,3,1.1,2,0,0,0,0,1,0
56,31,65,93403,2,3.7,1,0,0,0,0,1,0
49,25,30,92093,4,0.6,1,0,0,0,0,0,0
53,27,59,92038,2,0.8,3,0,0,0,0,1,0
63,38,83,91320,3,1.8,2,0,0,0,0,1,0
45,20,70,94305,4,1.9,3,0,0,0,0,1,1
26,1,50,95616,4,0.6,2,0,0,0,0,0,0
60,34,40,93940,3,2.2,3,0,0,1,0,1,0
39,15,118,95039,2,1.9,1,0,0,0,0,0,1
41,17,81,92868,4,0.2,3,167,0,1,0,0,0
31,7,15,91380,3,0.9,3,0,0,0,0,1,0
51,26,42,92103,2,0.6,3,0,0,0,0,1,1
60,30,31,95060,1,1.5,3,0,0,0,0,1,0
53,29,25,92008,2,0.4,1,0,0,0,0,1,0
65,39,30,94304,3,0.7,2,0,0,0,0,1,1
65,39,113,90036,1,2,1,0,0,0,0,1,1
45,21,134,94550,2,3.3,1,0,0,0,0,1,1
42,18,142,93106,1,3.4,1,496,0,0,0,1,0
49,23,49,94720,1,1.2,2,0,0,0,0,1,1
58,34,63,94305,4,1.6,2,0,0,0,0,0,0
33,9,41,95814,3,2,1,108,0,0,0,1,0
50,25,15,92173,1,0.4,3,0,0,0,0,0,0
56,32,28,92130,1,1.2,3,0,0,0,0,1,0
39,12,62,91910,3,2.33,2,0,0,0,0,0,0
57,33,24,94501,1,0.1,2,0,0,0,0,0,0
46,20,122,90065,3,3,3,0,1,0,1,1,1
35,10,164,91614,2,7.8,1,0,0,0,0,1,0
44,18,21,90840,1,0.2,1,0,0,0,0,1,0
49,24,42,92121,2,0.7,2,0,0,0,0,1,0
45,19,93,91116,2,1.7,2,0,0,0,0,0,0
32,8,65,95134,1,1.2,1,268,0,0,0,1,0
64,39,114,90095,1,0.8,3,0,0,0,0,1,0
32,7,101,90232,4,2.2,2,0,0,0,0,1,0
37,13,89,91711,2,1.7,2,0,0,0,0,1,0
55,25,42,94115,3,1,3,0,0,0,0,1,0
41,15,38,90291,2,0.7,1,91,0,0,0,1,0
38,13,84,93403,4,0.7,3,0,0,0,0,0,0
33,8,122,94583,1,0,1,0,0,0,0,1,1
52,28,39,94606,2,0.8,1,0,0,0,0,1,0
54,28,48,96091,4,2.8,2,0,0,0,0,1,0
40,15,132,94131,2,3.9,1,0,0,0,0,1,0
37,13,158,93943,2,2.3,2,0,1,0,1,1,1
60,35,43,91763,3,0.9,3,175,0,0,0,0,0
58,28,75,92121,1,1.4,3,0,0,0,0,1,0
56,30,141,94143,2,0.5,1,0,0,0,0,1,0
42,18,29,91320,1,0.3,3,0,0,0,0,1,0
27,2,129,90009,2,3.3,1,0,0,1,0,0,0
48,22,80,94720,3,1.1,1,0,0,0,0,0,0
43,17,98,94402,3,1.1,1,0,0,0,0,0,0
39,14,128,93943,2,3.9,1,196,0,0,0,1,0
63,33,34,94305,1,1.5,3,0,0,0,0,1,1
39,14,141,93302,4,6.3,1,0,1,1,1,1,1
27,1,80,95354,2,1.6,3,185,0,0,0,1,1
56,30,90,94402,1,1.9,2,0,0,0,0,1,0
40,16,98,94534,2,1.8,2,98,0,0,0,1,0
28,3,74,91330,2,1.8,2,221,0,1,0,0,0
60,34,139,95020,4,0.4,1,0,1,0,0,1,0
61,36,55,90033,3,0.9,3,0,0,0,0,1,1
44,20,185,94086,3,2.7,1,0,1,0,0,1,0
32,7,45,93611,3,2.3,1,83,0,1,0,1,0
53,29,61,95032,4,1.6,2,0,0,0,0,1,0
29,5,33,94709,1,1.8,2,78,0,0,0,1,0
65,39,25,95370,2,0.4,1,113,0,0,0,1,0
45,19,69,90840,1,2.8,1,220,0,0,0,1,1
61,36,153,91105,1,2.6,2,0,1,1,1,0,1
27,1,20,94720,4,0.4,1,99,0,0,0,1,0
51,26,43,91040,1,1.3,2,123,0,0,0,1,0
