Company,Quarters,Closing Stock Price,Enterprise Value,Oil Price,Change in Oil Price,CPI,Inflation,Net Income,Consumption of Raw Materials,Purchase of Traded Goods,Cost of Goods Sold,Gross Revenue,EXPENDITURE,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depriciation,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,Other Income,EBIT,Interest,P/L Before Exceptional Items & Tax,Exceptional Items,EBT,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,PAT,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),Basic EPS Before Extra Ordinary,Ratios
Procter and Gamble,Mar '20,4109.05,34210.09,2392.98,-0.198991786,148.6,0.058,656.05,210.64,24.47,235.11,420.94,308.16,-16.18,0,50.2,11.75,0,74.74,0,13.88,0,173.77,14.52,127.3,2.43,124.87,0,124.87,33.77,91.1,0,0,91.1,32.46,0,0,28.07,
Procter and Gamble,Dec '19,4352.30,34210.09,4509.77,0.884583239,150.4,0.074,859.27,289.15,10.78,299.93,559.34,384.12,21.2,0,42.92,11.48,0,108.01,0,0,0,200.51,9.02,184.24,2.24,182,0,182,46.07,135.93,0,0,135.93,32.46,0,0,41.88,
Procter and Gamble,Sep '19,4685.15,34210.09,4282.87,-0.050312987,145.8,0.04,852.14,334.88,11.27,346.15,505.99,335.27,-8.62,0,42.07,11.45,0,104.46,0,0,0,185.91,11.02,181.74,0.36,181.38,0,181.38,44.54,136.84,0,0,136.84,32.46,0,0,42.16,
Procter and Gamble,Jun '19,4106.05,34210.09,4149.67,-0.03110064,142.9,0.032,637.29,263.98,21.07,285.05,352.24,300.24,-25.4,0,25.07,12.81,0,69.19,0,0,0,218.57,9.69,61.69,4.04,57.65,0,57.65,-3.14,60.79,0,0,60.79,32.46,0,0,18.73,
Procter and Gamble,Mar '19,3673.65,31741,4432.04,0.068046375,140.4,0.029,699.34,213.66,56.69,270.35,428.99,297.9,25.8,0,34.58,12.56,0,70.24,0,0,0,154.72,8.43,139.52,0.54,138.98,0,138.98,48.87,90.11,0,0,90.11,32.46,0,0,27.76,
Procter and Gamble,Dec '18,3084.20,31741,3822.07,-0.137627368,140.1,0.021,818.07,212.49,139.92,352.41,465.66,286.77,11.46,0,36.92,12.34,0,89.68,0,0,0,136.37,11.66,190.55,0.48,190.07,0,190.07,65.95,124.12,0,0,124.12,32.46,0,0,38.24,
Procter and Gamble,Sep '18,2578.90,31741,5448.55,0.425549506,140.2,0.037,791.8,260.51,104.27,364.78,427.02,229.53,-49.59,0,35.81,12.07,0,83.2,0,0,0,148.04,23.56,221.05,0.42,220.63,0,220.63,76.52,144.11,0,0,144.11,32.46,0,0,44.4,
Procter and Gamble,Jun '18,2369.70,31741,4879.75,-0.104394747,138.5,0.049,524.65,133.03,59.51,192.54,332.11,260.51,-6.56,0,24.38,12.33,0,67.73,0,0,0,162.63,6.83,78.43,4.05,74.38,0,74.38,29.83,44.55,0,0,44.55,32.46,0,0,13.72,
Procter and Gamble,Mar '18,1504.65,26001.3,4171.72,-0.145095548,136.5,0.043,568.89,115.28,73.82,189.1,379.79,259.69,15.73,0,32.66,13.68,0,72.55,0,0,0,125.07,6.61,126.71,0.39,126.32,0,126.32,43.08,83.24,0,0,83.24,32.46,0,0,25.64,
Procter and Gamble,Dec '17,1288.65,26001.3,3930.99,-0.057705215,137.2,0.052,704.16,149.14,121.75,270.89,433.27,236.56,9.76,0,29.02,13.52,0,67.49,0,0,0,116.77,7.09,203.8,0.47,203.33,0,203.33,72.09,131.24,0,0,131.24,32.46,0,0,40.43,
