wage,IQ,educ
769,93,12
808,119,18
825,108,14
650,96,12
562,74,11
1400,116,16
600,91,10
1081,114,18
1154,111,15
1000,95,12
930,132,18
921,102,14
900,125,15
1318,119,16
1792,118,16
958,105,10
1360,109,15
850,72,11
830,105,14
471,101,12
1275,123,14
1615,113,16
873,95,12
2137,145,16
1053,114,16
1602,124,16
1188,93,13
800,115,18
1417,125,17
635,128,18
1000,103,12
1424,98,14
2668,108,13
666,129,18
1779,132,17
782,92,13
1572,108,14
1274,106,13
714,105,16
1081,123,18
692,108,12
1318,122,17
1239,109,12
1027,100,13
1748,125,18
981,122,14
770,105,17
1154,94,16
1155,102,12
808,109,13
1100,105,12
1154,134,18
1749,108,12
1000,104,16
462,112,12
769,120,18
875,124,16
1375,103,12
1452,115,17
800,96,12
1748,123,17
1151,98,12
840,96,12
978,89,12
963,109,12
619,93,12
442,82,12
600,120,15
1366,122,12
1643,117,18
1455,109,16
2310,114,18
1682,126,16
1235,82,12
855,119,16
1072,104,16
1040,115,15
1000,97,12
675,105,15
1100,100,12
996,114,12
732,73,10
1200,96,11
1694,113,15
686,106,10
754,104,13
857,80,10
832,104,13
579,122,13
672,96,12
2500,95,15
1076,105,12
750,94,12
1186,91,17
833,96,16
650,69,12
1250,110,12
1122,111,15
865,110,16
808,97,16
1299,125,18
903,91,12
900,86,12
625,110,12
1586,92,14
962,85,10
1539,120,17
1110,106,12
1282,112,16
770,91,12
1000,90,12
895,86,9
1205,86,10
750,113,12
654,111,13
601,111,12
600,106,13
433,98,12
1188,105,12
635,105,12
1225,118,13
1151,90,12
865,95,12
1031,112,14
1049,120,12
1000,123,12
1105,103,13
1924,121,18
1346,90,16
809,125,12
1495,109,18
1346,128,16
1200,97,12
500,96,12
1325,97,12
900,78,12
800,112,12
800,88,12
1034,97,12
980,101,12
884,106,10
480,59,10
923,105,18
513,119,17
1105,93,11
1193,82,12
2771,134,18
779,84,12
950,98,11
1394,118,16
1495,113,17
650,100,12
670,93,13
1126,119,16
450,67,12
1028,111,12
2404,106,15
1899,127,18
757,113,16
1250,115,14
1162,102,16
1025,85,15
1100,117,16
714,125,16
1318,118,16
1411,121,18
2162,115,17
1273,120,14
1140,109,12
578,109,13
942,85,12
1058,85,12
750,106,14
1000,101,12
951,116,12
635,91,12
1250,91,12
675,110,12
400,75,12
577,94,12
590,109,13
923,122,16
1250,102,12
1100,122,14
1130,105,12
652,113,12
618,104,12
962,124,16
529,110,13
817,95,12
962,120,16
840,105,12
866,121,16
2404,96,14
1126,110,12
1160,92,12
723,98,12
1778,109,16
1903,118,18
1010,97,18
971,95,17
525,99,12
525,106,12
670,117,12
500,90,12
1058,98,14
550,95,12
500,115,12
727,106,15
865,114,12
1081,92,13
1304,119,17
575,85,13
623,98,16
515,114,13
1273,84,18
990,108,13
600,107,12
1160,84,12
500,86,12
795,88,12
500,97,11
740,84,10
1250,117,16
1014,110,16
1250,104,13
913,110,14
1346,99,16
445,80,10
265,101,12
1250,117,14
1607,108,13
1452,69,16
1391,109,12
821,85,16
794,114,16
500,90,13
520,107,18
1730,117,18
1924,112,18
1155,106,18
2162,116,15
923,123,14
1115,118,16
449,91,12
1500,103,12
826,114,14
937,102,12
978,104,12
1031,112,14
1272,107,12
1136,117,14
800,110,12
1339,96,12
1063,90,12
935,97,12
808,99,12
375,99,10
537,97,12
1082,95,12
930,126,14
1155,109,17
548,86,11
622,119,16
841,102,16
769,105,18
587,117,17
1924,112,16
1058,89,12
417,131,12
1202,114,16
1154,98,14
1070,124,13
1202,125,14
711,100,18
1202,84,14
850,113,12
1000,102,16
490,82,18
1000,112,14
865,111,16
1375,96,13
1586,127,16
1602,97,15
3078,120,14
898,101,16
906,120,14
952,99,13
571,78,13
445,110,12
289,94,12
1444,120,16
962,108,12
1075,103,12
909,97,11
1250,106,12
620,99,11
1016,72,10
800,88,10
1050,119,16
1079,87,12
654,121,17
781,112,12
1038,103,15
1924,99,16
1202,101,15
666,117,15
905,109,14
890,73,12
817,116,16
812,98,12
577,104,14
756,78,14
1011,104,12
1155,85,12
1025,104,12
1350,107,12
1001,109,12
796,119,13
1230,96,13
754,93,12
714,90,12
1000,103,15
2067,106,16
912,96,16
600,114,12
951,86,11
711,110,16
1151,87,12
1000,89,12
841,106,12
400,100,12
1175,111,12
1202,100,12
1442,114,12
538,98,18
781,89,11
750,74,10
841,110,18
700,130,13
1346,108,16
800,98,12
1250,125,16
1105,104,16
475,98,14
762,104,15
962,120,12
721,134,13
800,92,9
658,129,16
1270,118,14
1313,107,12
824,92,12
1442,118,16
1400,108,17
1038,119,12
668,109,12
1100,91,12
1000,118,14
523,119,13
1111,103,14
962,120,16
729,122,18
690,119,12
1010,104,11
600,96,11
596,83,12
850,115,12
670,88,12
793,96,12
1442,123,17
670,108,12
876,116,16
841,109,18
975,97,13
1223,107,12
910,95,12
533,109,15
750,104,12
1206,110,12
745,94,13
900,103,12
1170,123,14
540,113,12
550,110,16
615,100,14
909,95,13
769,100,12
984,108,13
833,101,12
879,90,12
1027,115,12
1000,114,16
465,84,13
1100,92,13
641,125,14
1035,107,12
1212,129,14
950,98,12
938,108,12
1250,114,16
586,111,18
693,101,12
562,99,12
375,75,12
